id;name;city;category;description;budget;duration_hours;best_time;tags;tips;
RAB001;Tour Hassan;Rabat;histoire;Minaret inachevé de la mosquée almohade (XIIe siècle) dominant Rabat. Point de vue panoramique sur la ville, le fleuve et l'océan.;free;1.5;morning;almohad;minaret;viewpoint;unesco;Visitez tôt pour éviter les groupes; Chaussures confortables recommandées; Admirez le coucher de soleil depuis les remparts;
RAB002;Mausolée Mohammed V;Rabat;religion;Tombeau royal abritant Mohammed V et ses fils. Architecture marocaine traditionnelle avec toit pyramidal vert et marbre blanc.;free;1;afternoon;royal;tomb;architecture;religious;Tenue correcte obligatoire; Silence respectueux à l'intérieur; Photos interdites dans la salle funéraire;
RAB003;Kasbah des Oudayas;Rabat;culture;Forteresse historique avec ruelles bleu-blanc, jardins andalous et vue sur l'embouchure Bouregreg. Village préservé dans l'enceinte.;free;2.5;late_afternoon;fortress;medina;andalusian;museum;Explorez les passages secrets; Pause thé au Café Maure; Musée fermé le mardi;
RAB004;Jardins des Oudayas;Rabat;nature;Jardin andalou du XVIIIe avec fontaines, orangers et vue océan. Havre de paix parfumé de fleurs d'oranger.;free;1;morning;garden;peaceful;nature;flowers;Idéal pour lecture et méditation; Meilleure lumière photo: 9h-11h; Évitez les week-ends très fréquentés;
RAB005;Chellah;Rabat;histoire;Site archéologique romain et nécropole mérinide. Ruines, jardins, bassins aux anguilles et colonies de cigognes.;low;2;morning;archaeology;roman;merinid;storks;Billet d'entrée: 20 MAD; Printemps pour la floraison; Appareil photo pour les cigognes;
RAB006;Musée Mohammed VI d'Art Moderne;Rabat;culture;Musée contemporain d'art marocain moderne. Architecture épurée, collections permanentes et expos temporaires.;medium;2;afternoon;museum;art;contemporary;architecture;Billetterie en ligne disponible; Audioguides en français; Café avec terrasse agréable;
RAB007;Médina de Rabat;Rabat;shopping;Ville historique classée UNESCO avec souks authentiques. Artisanat local: tapis, céramique, cuir, métaux.;low;3;morning;medina;souks;handicraft;shopping;Négociez toujours les prix; Ruelles secondaires moins touristiques; Essayez les pâtisseries aux amandes;
RAB008;Plage de Rabat;Rabat;nature;Plage de sable fin de 4km avec corniche animée. Surf, planche à voile, promenades et couchers de soleil.;free;2.5;sunset;beach;ocean;sports;surf;Surveillance limitée, soyez prudent; Équipement de surf à louer; Superbe coucher de soleil vers 18h;
RAB009;Avenue Mohammed V;Rabat;culture;Artère principale aux bâtiments coloniaux et art déco. Cafés, administrations, vie urbaine intense.;free;1;evening;avenue;colonial;architecture;cafes;Promenade nocturne illuminée; Admirez la Poste Centrale; Terrasse du Café de la Renaissance;
RAB010;Cathédrale Saint-Pierre;Rabat;religion;Cathédrale catholique Art déco (1919-1921). Vitraux remarquables et orgue historique.;free;0.5;afternoon;cathedral;christian;art-deco;religious;Horaires des messes affichés; Visite libre entre les offices; Centre paroissial actif;
RAB011;Zoo de Rabat;Rabat;nature;Zoo moderne de 50ha avec animaux africains en semi-liberté. Volière, safari, aire de jeux pour enfants.;medium;3;morning;zoo;animals;family;safari;Billet familial avantageux; Nourrissage des lions à 11h; Tramway direct depuis centre-ville;
RAB012;Marché Central;Rabat;shopping;Marché couvert historique (1930). Poissonnerie spectaculaire, épices, viandes halal, produits frais.;low;1.5;morning;market;food;fish;spices;Arrivez avant 10h pour le poisson; Olives à déguster gratuitement; Épices en vrac meilleur marché;
RAB013;Pont Hassan II;Rabat;culture;Pont suspendu moderne (2011) sur le Bouregreg. Vue sur Rabat et Salé, architecture impressionnante.;free;1;evening;bridge;modern;view;engineering;Photos au coucher de soleil; Vue depuis la marina; Éclairage nocturne magnifique;
RAB014;Forêt de la Maâmora;Rabat;nature;Plus grande forêt de chênes-lièges d'Afrique. Randonnées, pique-nique, observation faune et flore.;free;3.5;morning;forest;hiking;picnic;nature;Eau et snacks indispensables; Chaussures de marche; Carte des sentiers à l'entrée;
RAB015;Grand Théâtre de Rabat;Rabat;culture;Théâtre national signé Zaha Hadid. Architecture futuriste en forme de rocher, programmation internationale.;high;1;afternoon;theater;architecture;performance;modern;Programmation sur internet; Réservation conseillée; Visite architecturale guidée;
RAB016;Musée de l'Histoire et des Civilisations;Rabat;histoire;Musée archéologique avec collections préhistoriques, romaines et islamiques. Bronzes, mosaïques, bijoux anciens.;medium;2;afternoon;museum;archaeology;history;antiquities;Billet combiné avec Chellah; Collections romaines exceptionnelles; Boutique de souvenirs de qualité;
RAB017;Plage de Skhirat;Rabat;nature;Plage résidentielle calme à 20km sud de Rabat. Sable doré, eaux claires, moins fréquentée.;free;3;afternoon;beach;quiet;residential;swimming;Idéale pour familles; Peu de restaurants sur place; Transport en taxi nécessaire;
RAB018;Marina Bouregreg;Rabat;culture;Marina moderne entre Rabat et Salé. Restaurants, cafés, promenade, bateaux de plaisance.;medium;2;evening;marina;restaurants;boats;promenade;Dîner avec vue sur les ponts; Promenade romantique le soir; Événements nautiques fréquents;
RAB019;Café Maure des Oudayas;Rabat;culture;Café traditionnel dans la Kasbah, vue panoramique sur l'embouchure. Thé à la menthe et pâtisseries.;low;1;sunset;cafe;tea;view;traditional;Thé à la menthe obligatoire; Pâtisseries aux amandes délicieuses; Arrivez tôt pour les meilleures places;
RAB020;Université Mohammed V;Rabat;culture;Campus universitaire historique (1957). Architecture moderniste, jardins, vie étudiante animée.;free;1.5;afternoon;university;campus;architecture;student;Visite libre des extérieurs; Bibliothèque universitaire remarquable; Café étudiant authentique;
RAB021;Parc Hassan II;Rabat;nature;Grand parc urbain avec lacs, fontaines, aires de jeux. Jogging, pique-nique, détente en famille.;free;2;morning;park;lake;fountains;family;Aire de jeux pour enfants; Location de pédalos sur le lac; Concerts gratuits l'été;
RAB022;Villa des Arts;Rabat;culture;Galerie d'art contemporain dans villa historique. Expositions d'artistes marocains émergents.;free;1;afternoon;gallery;art;contemporary;villa;Entrée toujours gratuite; Expositions renouvelées mensuellement; Vente d'œuvres d'artistes locaux;
RAB023;Bab El Had;Rabat;histoire;Porte monumentale de la médina (XIIe siècle). Marché aux fleurs et point de repère historique.;free;0.5;morning;gate;history;market;flowers;Marché aux fleurs le matin; Belle perspective photo; Point de départ pour la médina;
RAB024;Rue des Consuls;Rabat;shopping;Rue commerçante historique de la médina. Tapis, antiquités, bijoux traditionnels et artisanat.;medium;2;afternoon;souks;carpets;antiques;jewelry;Experts en tapis berbères; Négociation courtoise attendue; Ateliers d'artisans visibles;
RAB025;Jardin Exotique de Bouknadel;Rabat;nature;Jardin botanique tropical à 15km de Rabat. Plantes exotiques, bambouseraie, serres.;low;2.5;morning;garden;botanical;tropical;plants;Transport en taxi ou voiture; Guide botanique disponible; Restaurant sur place agréable;
RAB026;Kasbah de Mehdia;Rabat;histoire;Forteresse côtière du XVIIe siècle à l'embouchure du Sebou. Ruines, phare et vue sur l'océan.;free;1.5;afternoon;fortress;coastal;ruins;lighthouse;Accès par route côtière; Chaussures de marche; Superbe spot photo maritime;
RAB027;Centre Artisanal des Oudayas;Rabat;shopping;Centre d'artisanat officiel dans la Kasbah. Qualité garantie, prix fixes, large sélection.;medium;1.5;morning;handicraft;official;quality;fixed-price;Prix fixes (pas de négociation); Certificat d'authenticité; Emballage cadeau disponible;
RAB028;Bibliothèque Nationale;Rabat;culture;Bibliothèque moderne (2008) avec architecture audacieuse. Collections, expos, espace numérique.;free;1;afternoon;library;books;architecture;digital;Carte de lecteur gratuite; Espace numérique avec ordinateurs; Expositions temporaires intéressantes;
RAB029;Cinéma Renaissance;Rabat;culture;Cinéma historique rénové (1938). Films marocains, arabes et internationaux en version originale.;low;2.5;evening;cinema;movies;historic;art-house;Programmation variée; Films marocains sous-titrés français; Café littéraire attenant;
RAB030;Parc Ibn Sina;Rabat;nature;Parc urbain arboré avec sculptures modernes. Bancs ombragés, fontaine centrale, calme.;free;1;morning;park;sculptures;trees;quiet;Jogging matinal populaire; Sculptures d'artistes marocains; Peu fréquenté en semaine;
RAB031;Musée de la Monnaie;Rabat;histoire;Musée de la Banque Al-Maghrib. Histoire de la monnaie marocaine, pièces anciennes, or.;free;1.5;afternoon;museum;money;coins;bank;Entrée gratuite avec pièce d'identité; Collection de pièces romaines; Atelier de frappe de monnaie;
RAB032;Espace Expressions;Rabat;culture;Centre culturel contemporain. Expositions, conférences, résidences d'artistes, ateliers.;free;1;afternoon;cultural-center;exhibitions;workshops;artists;Programme mensuel varié; Ateliers créatifs weekends; Café culturel sympa;
RAB033;Marché aux Puces Bab El Had;Rabat;shopping;Marché aux puces populaire le weekend. Antiquités, livres anciens, vêtements vintage.;low;2;morning;fleamarket;antiques;vintage;bargains;Dimanche matin seulement; Négociation agressive possible; Trésors à dénicher;
RAB034;Corniche de Rabat;Rabat;nature;Promenade côtière de 5km. Piste cyclable, rollers, cafés en bord de mer.;free;2;evening;corniche;walking;cycling;sea-view;Location de vélos disponible; Cafés avec terrasse mer; Magnifique à marée haute;
RAB035;Mosquée Sunna;Rabat;religion;Mosquée historique (XVIIIe) au minaret octogonal. Architecture traditionnelle, centre spirituel.;free;0.5;afternoon;mosque;religious;architecture;spiritual;Accès non-musulmans limité; Extérieur seulement pour visite; Respect absolu pendant prières;
RAB036;Gare Rabat-Ville;Rabat;culture;Gare historique art déco (1923). Architecture préservée, hall majestueux, café de la gare.;free;0.5;anytime;station;art-deco;architecture;train;Café historique à l'intérieur; Photos de l'architecture autorisées; Point de départ pour excursions;
RAB037;Musée Belghazi;Rabat;culture;Musée privé d'art islamique. Collection de tapis, armes, bijoux dans une maison traditionnelle.;medium;1.5;afternoon;museum;islamic-art;private;collection;Visite guidée incluse; Réservation recommandée; Boutique d'artisanat sélect;
RAB038;Quartier Hassan;Rabat;culture;Quartier moderne autour de la Tour Hassan. Ambiance aérée, bâtiments administratifs, larges avenues.;free;1;morning;district;modern;administrative;wide;Balade architecturale intéressante; Ministères et ambassades; Calme le weekend;
RAB039;Aquarium de Rabat;Rabat;nature;Aquarium moderne présentant la faune marine atlantique. Tunnel sous-marin, bassins tactiles.;medium;1.5;afternoon;aquarium;marine;fish;tunnel;Billet famille avantageux; Nourrissage des requins à 15h; Ateliers enfants weekends;
RAB040;Palais Royal;Rabat;culture;Palais royal (XIXe) entouré de jardins. Résidence officielle du roi, architecture majestueuse.;free;1;morning;palace;royal;architecture;gardens;Visite extérieure seulement; Garde royale impressionnante; Photos depuis les grilles;
RAB041;Musée des Oudayas;Rabat;histoire;Musée ethnographique dans la Kasbah. Costumes, bijoux, instruments de musique traditionnels.;low;1;afternoon;museum;ethnographic;costumes;music;Collections berbères remarquables; Costumes de mariage exposés; Vue sur mer depuis le musée;
RAB042;Rivière Bouregreg;Rabat;nature;Estuaire entre Rabat et Salé. Promenades en barque traditionnelle (falouka), observation oiseaux.;low;2;sunset;river;boat;birds;nature;Promenade en falouka: 50 MAD/pers; Observer les hérons; Meilleur lumière en fin de journée;
RAB043;Marché de l'Artisanat;Rabat;shopping;Marché moderne d'artisanat marocain. 150 échoppes, qualité contrôlée, climatisé.;medium;2;afternoon;handicraft;market;air-conditioned;fixed-price;Prix fixes (étiquetés); Certificat d'authenticité; Large choix de tapis;
RAB044;Cimetière Juif;Rabat;histoire;Cimetière juif historique de Rabat. Tombes anciennes, atmosphère paisible, mémoire communautaire.;free;0.5;morning;cemetery;jewish;history;memory;Respect et discrétion requis; Tombes du XIXe siècle; Guide disponible sur demande;
RAB045;Théâtre National Mohammed V;Rabat;culture;Théâtre national (1960). Programmation classique et contemporaine, danse, musique, théâtre.;medium;2.5;evening;theater;performance;national;classical;Billetterie ouverte 1h avant; Programme sur site web; Tenue correcte appréciée;
RAB046;Golf Dar Es Salam;Rabat;sport;Golf de renommée internationale (3 parcours). Tournois professionnels, cadre exceptionnel.;high;4;morning;golf;luxury;sports;championship;Réservation obligatoire; Location d'équipement sur place; Restaurant gastronomique;
RAB047;Marché Bio;Rabat;shopping;Marché biologique hebdomadaire. Produits locaux bio, miel, huile d'argan, cosmétiques naturels.;medium;1.5;morning;market;organic;local;healthy;Samedi matin seulement; Dégustations gratuites; Produits de saison recommandés;
RAB048;Jardin d'Essais Botaniques;Rabat;nature;Jardin botanique colonial (1914). Plantes médicinales, serres tropicales, collections rares.;low;2;morning;garden;botanical;colonial;medicinal;Guide botanique à l'entrée; Plantes médicinales étiquetées; Zone ombragée agréable;
RAB049;Centre Commercial Mega Mall;Rabat;shopping;Centre commercial moderne avec boutiques internationales, cinéma, food court.;medium;3;afternoon;mall;shopping;cinema;restaurants;Parking gratuit 2h; Cinéma VOST fréquent; Food court varié;
RAB050;Place Pietri;Rabat;culture;Place historique avec fontaine centrale. Cafés traditionnels, ambiance locale, rencontres.;free;0.5;evening;square;fountain;cafes;meeting;Café historique Le Pietri; Point de rendez-vous local; Animée en fin d'après-midi;
RAB051;Bab Chellah;Rabat;histoire;Porte monumentale menant au site archéologique de Chellah. Architecture mérinide, décorations sculptées, passage historique.;free;0.5;morning;gate;merinid;archaeology;entrance;Point d'entrée vers Chellah; Belles sculptures à observer; Photos matinales recommandées;
RAB052;Quartier Agdal;Rabat;culture;Quartier résidentiel moderne avec ambassades, villas cossues et rues arborées. Calme et élégant.;free;1.5;afternoon;district;residential;embassies;quiet;Balade architecturale intéressante; Ambassades remarquables; Peu de commerces touristiques;
RAB053;Rue de Washington;Rabat;shopping;Rue commerçante moderne. Boutiques de vêtements, cafés branchés, ambiance jeune et dynamique.;medium;2;afternoon;shopping-street;fashion;cafes;youth;Boutiques de créateurs locaux; Cafés avec wifi gratuit; Animée jusqu'à tard;
RAB054;Musée de la Photographie;Rabat;culture;Musée dédié à la photographie marocaine historique et contemporaine. Collection unique d'appareils anciens.;low;1.5;afternoon;museum;photography;cameras;history;Collection de photos années 1950; Ateliers photo weekends; Boutique de tirages limités;
RAB055;Plage des Nations;Rabat;nature;Plage familiale au nord de Rabat. Sable fin, vagues modérées, restaurants de plage.;free;2.5;afternoon;beach;family;restaurants;waves;Idéale pour enfants; Restaurants de fruits de mer; Location de parasols;
