"MARRA101,Le Jardin Secret,Marrakech,nature,""Un jardin traditionnel restauré, avec une atmosphère paisible et des fontaines."",medium,1.5,morning,""garden,quiet,relax"",""Idéal pour échapper à la foule."""
"MARRA102,Musee de la Palmeraie,Marrakech,culture,""Petit musée avec exposition sur la Palmeraie et son histoire."",low,1,morning,""museum,history,local"",""Parfait pour une visite courte."""
"MARRA103,Palais de la Bahia,Marrakech,culture,""Palais du XIXe siècle célèbre pour son architecture et ses jardins."",medium,2,morning,""palace,architecture,garden"",""Arriver tôt pour éviter les foules."""
"MARRA104,Musée des Confluences,Marrakech,culture,""Musée consacré à l’art et la culture du Maroc."",medium,1.5,afternoon,""museum,art,history"",""Vérifier les horaires de visite."""
"MARRA105,Riad Yasmine,Marrakech,view,""Rooftop avec piscine et vue panoramique sur la médina."",high,1,sunset,""view,rooftop,pool"",""Parfait pour photos au coucher du soleil."""
"MARRA106,Place des Ferblantiers,Marrakech,shopping,""Petit marché artisanal spécialisé dans le travail du métal."",low,1,morning,""market,craft,metal"",""Négocier les prix."""
"MARRA107,Souk des Bijoutiers,Marrakech,shopping,""Souk où l’on trouve des bijoux traditionnels en argent."",medium,1.5,afternoon,""jewelry,silver,craft"",""Vérifier la qualité de l’argent."""
"MARRA108,Souk des Teinturiers,Marrakech,shopping,""Ancien souk où l’on peut voir les teintures traditionnelles."",low,1,afternoon,""textile,tradition,craft"",""Apporter un foulard pour l’odeur."""
"MARRA109,Souk Smarine,Marrakech,shopping,""Souk central avec vêtements traditionnels et artisanat."",low,1.5,afternoon,""market,clothes,traditional"",""Négocier les prix."""
"MARRA110,Souk Cherratine,Marrakech,shopping,""Marché des maroquiniers, sacs et chaussures en cuir."",medium,1.5,afternoon,""leather,craft,shopping"",""Vérifier la qualité des articles."""
"MARRA111,Jemaa el-Fna Food Stalls,Marrakech,food,""Stands de nourriture traditionnelle sur la place principale."",low,2,evening,""food,street,local"",""Goûter aux spécialités locales."""
"MARRA112,Nomad Restaurant,Marrakech,food,""Restaurant moderne sur une terrasse avec vue sur la médina."",high,1.5,sunset,""restaurant,view,modern"",""Réserver pour le coucher du soleil."""
"MARRA113,Café des Épices,Marrakech,food,""Petit café avec terrasse et spécialités marocaines."",medium,1,afternoon,""cafe,local,food"",""Idéal pour une pause."""
"MARRA114,Le Salama,Marrakech,food,""Restaurant avec cuisine marocaine et internationale."",medium,1.5,evening,""restaurant,food,international"",""Ambiance animée le soir."""
"MARRA115,Riad Kniza,Marrakech,luxe,""Riad historique avec restaurant gastronomique."",high,2,evening,""luxury,riad,food"",""Réserver pour dîner romantique."""
"MARRA116,La Mamounia Gardens,Marrakech,nature,""Jardins luxueux de l’hôtel La Mamounia."",medium,1.5,afternoon,""garden,luxury,relax"",""Entrée payante pour les visiteurs."""
